,param,value,mean_validation_score,std_test_score,hyperparam_search_method,fit_time(s)
0,n_neighbors,5,0.5650019176374707,0.09645577152413926,RandomizedSearchCV,0.967444896697998
1,n_neighbors,4,0.5537046358885853,0.07899601839600778,RandomizedSearchCV,0.967444896697998
2,n_neighbors,6,0.5429502852485737,0.10857239193135186,RandomizedSearchCV,0.967444896697998
3,n_neighbors,3,0.5703713025552519,0.09588819268811767,GridSearchCV,1.9286086559295654
4,n_neighbors,5,0.5650019176374707,0.09645577152413926,GridSearchCV,1.9286086559295654
5,n_neighbors,4,0.5537046358885853,0.07899601839600778,GridSearchCV,1.9286086559295654
6,n_neighbors,1,0.536,0.15717506163510803,HalvingGridSearchCV,3.586934804916382
7,n_neighbors,9,0.5323029254063737,0.11309506890881424,HalvingGridSearchCV,3.586934804916382
8,n_neighbors,11,0.509144164316578,0.13456548535639828,HalvingGridSearchCV,3.586934804916382
