,model,bic,aic,mse_train,mse_test
0,Linear Model (lm),26913.879139555767,26908.547424586042,2600254.6466363766,264855.3583350797
0,Polynomial Model (pm),26927.391664962197,26911.39652005302,2600254.6466363766,264855.3583350797
0,Cubic spline (cs),26956.14180242297,26918.819797634886,2597316.3407588266,259575.00961173177
0,Natural cubic spline (ncs),26927.548304834654,26911.553159925475,2598563.21970612,264326.92578593903
